TITLE: Bill of Materials,,,,,
DESIGN: hyp_ot,,,,,
DATE: 04/26/2024,,,,,
,,,,,
Ref Des,Qty,DESCR,MFGR,MFGR_PN,BOM_IGNORE
C24,1,"CAP, CER, X5R, 1uF, 10%, 10V, 0402, 0.55mm",?,?,DNS
C42,1,"CAP, CER, X5R, 1uF, 10%, 10V, 0402, 0.55mm",?,?,?
"C4,C7,C10,C13,C14,C15,C17,C18,C28,C29,C30,C31,C32,C34,C37",15,"CAP, CER, X7R, 0.1uF, 10%, 16V, 0402, 0.55mm",?,?,?
"C19,C23,C41",3,"CAP, CER, X7R, 0.1uF, 10%, 16V, 0402, 0.55mm",?,?,DNS
"C20,C25,C33,C36,C38,C39,C40",7,"CAP, CER, X5R, 4.7uF, 20%, 10V, 0402, 0.65mm",?,?,?
C27,1,"CAP, CER, X7R, 0.01uF, 10%, 25V, 0402, 0.56mm",?,?,DNS
C8,1,"CAP, CER, X7R, 0.01uF, 10%, 25V, 0402, 0.56mm",?,?,?
"C21,C22",2,"CAP, CER, X5R, 220pF, 10%, 25V, 0201, 0.33mm",?,?,DNS
C35,1,"CAP, CER, X5R, 4.7uF, 10%, 35V, 0603, 1.00mm",?,?,?
J18,1,"CONN, HDR, VERT, 2x10 PIN, 2.54mmP, GOLD, SMD, 9.19mm",SAMTEC INC,HTST-110-01-L-DV-P-TR,?
J1,1,"CONN, SKT, USB, TYPE C, RA, 24 PIN, 0.5mmP, GOLD, SMD, 3.38mm",AMPHENOL,12401832E402A,?
J21,1,"CONN, HDR, VERT, 6 PIN, 2.54mmP, GOLD, SMD, 5.84mm",SAMTEC INC,TSM-106-01-L-SV,DNS
"J14,J22",2,"CONN, SKT, SMA, VERT, 1 PIN, 50R, GOLD, TH, 9.601mm",SAMTEC INC,SMA-J-P-H-ST-TH1,DNS
"J9,J10,J11,J12,J13,J15,J16",7,"CONN, HDR, UNSHRD, VERT, 1x2 PIN, 2.54mmP, TIN, TH, 8.73mm",FCI,68000-402HLF,DNS
"J19,J20",2,"CONN, B2B, SKT, RA, 2x6 PIN, 2.54mmP, GOLD, TH, 4.95mm",SAMTEC INC,SSW-106-02-F-D-RA,?
J5,1,"CONN, SKT, SPI FLASH, WSON8 6x8, 8, 1.27mmP, Nickel/Gold, SMD, 9.85x10.20mm, 3.00mm",Dediprog Technology,SOK-SPI-WSON68-L,?
CN8,1,"CONN, HDR, VERT, 2x8 PIN, 2.54mmP, GOLD, TH, 5.21mm",SAMTEC INC,TSW-108-16-G-D,?
CN7,1,"CONN, HDR, VERT, 2x10 PIN, 2.54mmP, GOLD, TH, 5.31mm",SAMTEC INC,TSW-110-16-G-D,?
CN9,1,"CONN, HDR, VERT, 2x15 PIN, 2.54mmP, GOLD, TH, 5.31mm",SAMTEC INC,TSW-115-16-G-D,?
CN10,1,"CONN, HDR, VERT, 2x17 PIN, 2.54mmP, GOLD, TH 5.13mm",SAMTEC INC,TSW-117-16-G-D,?
U8,1,"IC, AMP, R2R OUT, DUAL, 1.7-5.5Vin, 4.5mVoff, 450nA, VSSOP-8, 1.10mm",TEXAS INSTRUMENTS INC,TLV8802DGKR,DNS
"U13,U15",2,"IC, LOGIC, LVC, BUFFER, TRI-STATE, AH ENABLE, 1.65-5.5Vcc, 3.4ns@5V/15pF, 32mA, SC70-5, 1.10mm",TEXAS INSTRUMENTS INC,SN74LVC1G126DCKR,?
U14,1,"IC, LED DRIVER, RGB, 12-CH, I2C, 2.7-5.5V, Current 38 mA (max) QFN-20, 0.75mm",ISSI,IS31FL3205-QFLS4-TR,?
"U10,U11",2,"IC, ANALOG SW, MUX/DEMUX, 1:2, SPDT, 6-CH, 1.65-3.6Vcc, 100mA IS, 6.2Ohm MAX Ron, 240MHz, WQFN-24, 0.8mm",TEXAS INSTRUMENTS INC,TS3A27518ERTWR,?
"U1,U4",2,"IC, PWR, MONITOR, CURRENT, 4-CH, ADC, 16-BIT, I2C/SMBus, 2.7-5.5Vdd, QFN-16, 0.90mm",MICROCHIP TECHNOLOGY INC,PAC1954T-E/4MX,?
U9,1,"IC, PWR, REG, LDO, AH ENABLE, 1.2-5.5Vin, 3.3Vout, 2%, 300mA, TSOT23-5, 1.00mm",Richtek Technology Corporation,RT9078-33GJ5,DNS
U301,1,"IC, FLASH, NOR, SPI, 128Mb, 3.3V, WSON-8, 0.80mm",Winbond Electronics,W25Q128JVEIM,?
"DS5,DS9,DS10,DS11",4,"LED, RGB, R-619/G-518/B-467nm, R-450/G-710/B-140mcd, 120 DEG, R-1.8V/G-2.8V/B-2.8V@20mA, SMD-6, 1.6x1.6mm, 0.60mm","Everlight Electronics Co., Ltd",19-337C/RSBHGHC-A91/4T,?
U12,1,"IC, PWR, LOAD SW, AH ENABLE, 1.05-5.5Vin, 2A, 37mOhm@5Vin/200mA, DSBGA-4, 0.50mm",TEXAS INSTRUMENTS INC,TPS22915BYFPR,DNS
U7,1,"IC, PWR, LOAD SW, AH ENABLE, 1.05-5.5Vin, 2A, 37mOhm@5Vin/200mA, DSBGA-4, 0.50mm",TEXAS INSTRUMENTS INC,TPS22915BYFPR,?
"D4,D6",2,"DIODE, TVS, BI, ESD PROT, 5Vrwm, 10Vbr, 12.8Vcl, 2A Ipp, 6pF, SOD962-2, 0.32mm",Nexperia,"PESD5V0V1BDSF,315",?
"R62,R63,R66,R67,R109,R110",6,"RES, 0.0, 1/20W, 0201, 0.26mm",?,?,DNS
"R69,R70,R119,R153,R154",5,"RES, 0.0, 1/20W, 0201, 0.26mm",?,?,?
"R107,R115",2,"RES, 10K, 5%, 1/20W, 0201, 0.26mm",?,?,DNS
"R163,R164,R165,R166,R167,R168,R169",7,"RES, 0.0, 1/16W, 0402, 0.40mm",?,?,?
"R17,R24,R26,R59,R146,R175",6,"RES, 1M, 1%, 1/10W, 0603, 0.60mm",?,?,?
R97,1,"RES, 100, 1%, 1/16W, 0402, 0.40mm",?,?,DNS
"R23,R25,R27,R155",4,"RES, 4.99K, 1%, 1/16W, 0402, 0.40mm",?,?,?
"R118,R160",2,"RES, 22, 5%, 1/16W, 0402, 0.40mm",?,?,?
"R68,R71",2,"RES, 2M, 5%, 1/16W, 0402, 0.40mm",?,?,DNS
"R44,R47,R122",3,"RES, 100K, 1%, 1/10W, 0603, 0.55mm",?,?,?
"R170,R190",2,"RES, 100K, 1%, 1/10W, 0603, 0.55mm",?,?,DNS
"R7,R11,R14,R15,R18,R19,R21,R22,R135,R136",10,"RES, 1K, 1%, 1/10W, 0603, 0.60mm",?,?,?
"R42,R43,R48,R49,R50,R51,R58,R75,R76,R77,R78,R83,R84,R85,R86,R87,R93,R95,R96,R100,R101,R105,R106,R113,R117,R143,R151,R162,R176,R192",30,"RES, 0.0, 1/10W, 0603, 0.60mm",?,?,?
"R116,R150,R191",3,"RES, 0.0, 1/10W, 0603, 0.60mm",?,?,DNS
"R64,R65",2,"RES, 5.11K, 1%, 1/16W, 0402, 0.40mm",?,?,DNS
R173,1,"RES, 7.5K, 1%, 1/16W, 0402, 0.40mm",?,?,?
"R120,R121,R125,R134,R145",5,"RES, 10K, 5%, 1/10W, 0603, 0.55mm",?,?,DNS
"R123,R124,R131,R139,R140,R142,R161,R174,R189,R193",10,"RES, 10K, 5%, 1/10W, 0603, 0.55mm",?,?,?
"R177,R179,R180,R182,R183,R185,R186,R188",8,"RES, 33, 5%, 1/10W, 0603, 0.55mm",?,?,?
"R41,R114",2,"RES, 499, 1%, 1/10W, 0603, 0.55mm",?,?,?
"R178,R181,R184,R187",4,"RES, 75, 0.1%, 1/10W, 0603, 0.55mm",?,?,?
"R79,R80,R81,R82,R91,R94",6,"RES, 0.5, 1%, 1/10W, 0603, 0.60mm",?,?,?
"Q9,Q10",2,"XSTR, MOSFET, N-CH, DUAL, 50Vds, 200mA Id, 6 Ohm@1.8Vgs/10mA, 300mW, 6pF, SOT563-6, 0.60mm",DIODES INC.,DMN5L06VK-7,?
"D1,D2",2,"DIODE, ZENER, 0.9Vf @ 10mA, 5.6Vz, 5%, 50uA Izt, 300mW, SOD323, 1.1mm",Nexperia,BZX38450-C5V6,DNS
D5,1,"DIODE, ZENER, 0.9Vf @ 10mA, 5.6Vz, 5%, 50uA Izt, 300mW, SOD323, 1.1mm",Nexperia,BZX38450-C5V6,?
U2,1,Mating BGA socket for G660-00537-00,Nuvoton Technology,NPCR100T,?
,196,,,,